Address_r1,Address_r2,Sample_ID,total_raw_reads,unexpected_reads_with_guides,expected_reads_with_guides,lowQ_reads,frac_unexpected,frac_expected,frac_lowQ_reads
/labs/mwinslow/Haiqing/NGS_Raw_data/LA92-250304/01.RawData/LA92_10/LA92_10_CKDL250005148-1A_22MKWKLT4_L5_1.fq.gz,/labs/mwinslow/Haiqing/NGS_Raw_data/LA92-250304/01.RawData/LA92_10/LA92_10_CKDL250005148-1A_22MKWKLT4_L5_2.fq.gz,LA92_10,3860436,122645,1524132,2213659,0.03176972756445127,0.39480825481888576,0.573422017616663
/labs/mwinslow/Haiqing/NGS_Raw_data/LA92-250304/01.RawData/LA92_26/LA92_26_CKDL250005148-1A_22MKWKLT4_L5_1.fq.gz,/labs/mwinslow/Haiqing/NGS_Raw_data/LA92-250304/01.RawData/LA92_26/LA92_26_CKDL250005148-1A_22MKWKLT4_L5_2.fq.gz,LA92_26,8284136,264990,3084497,4934649,0.03198764481896483,0.3723378032422452,0.59567455193879
/labs/mwinslow/Haiqing/NGS_Raw_data/LA92-250304/01.RawData/LA92_11/LA92_11_CKDL250005148-1A_22MKWKLT4_L5_1.fq.gz,/labs/mwinslow/Haiqing/NGS_Raw_data/LA92-250304/01.RawData/LA92_11/LA92_11_CKDL250005148-1A_22MKWKLT4_L5_2.fq.gz,LA92_11,409812,16889,9364,383559,0.041211579943974314,0.02284950172274116,0.9359389183332846
/labs/mwinslow/Haiqing/NGS_Raw_data/LA92-250304/01.RawData/LA92_25/LA92_25_CKDL250005148-1A_22MKWKLT4_L5_1.fq.gz,/labs/mwinslow/Haiqing/NGS_Raw_data/LA92-250304/01.RawData/LA92_25/LA92_25_CKDL250005148-1A_22MKWKLT4_L5_2.fq.gz,LA92_25,3532106,122122,1390140,2019844,0.03457484005293159,0.39357255982691347,0.5718526001201549
/labs/mwinslow/Haiqing/NGS_Raw_data/LA92-250304/01.RawData/LA92_17/LA92_17_CKDL250005148-1A_22MKWKLT4_L5_1.fq.gz,/labs/mwinslow/Haiqing/NGS_Raw_data/LA92-250304/01.RawData/LA92_17/LA92_17_CKDL250005148-1A_22MKWKLT4_L5_2.fq.gz,LA92_17,3384786,128179,1470077,1786530,0.03786915923192781,0.43431903819030215,0.52781180257777
/labs/mwinslow/Haiqing/NGS_Raw_data/LA92-250304/01.RawData/LA92_21/LA92_21_CKDL250005148-1A_22MKWKLT4_L5_1.fq.gz,/labs/mwinslow/Haiqing/NGS_Raw_data/LA92-250304/01.RawData/LA92_21/LA92_21_CKDL250005148-1A_22MKWKLT4_L5_2.fq.gz,LA92_21,2678397,90611,981371,1606415,0.0338303096964341,0.36640236678879196,0.5997673235147739
/labs/mwinslow/Haiqing/NGS_Raw_data/LA92-250304/01.RawData/LA92_12/LA92_12_CKDL250005148-1A_22MKWKLT4_L5_1.fq.gz,/labs/mwinslow/Haiqing/NGS_Raw_data/LA92-250304/01.RawData/LA92_12/LA92_12_CKDL250005148-1A_22MKWKLT4_L5_2.fq.gz,LA92_12,6037151,178278,2049257,3809616,0.029530154206843594,0.33944107079647334,0.6310287749966831
/labs/mwinslow/Haiqing/NGS_Raw_data/LA92-250304/01.RawData/LA92_14/LA92_14_CKDL250005148-1A_22MKWKLT4_L5_1.fq.gz,/labs/mwinslow/Haiqing/NGS_Raw_data/LA92-250304/01.RawData/LA92_14/LA92_14_CKDL250005148-1A_22MKWKLT4_L5_2.fq.gz,LA92_14,2945473,95474,1156123,1693876,0.03241380925915804,0.3925084358267755,0.5750777549140664
/labs/mwinslow/Haiqing/NGS_Raw_data/LA92-250304/01.RawData/LA92_19/LA92_19_CKDL250005148-1A_22MKWKLT4_L5_1.fq.gz,/labs/mwinslow/Haiqing/NGS_Raw_data/LA92-250304/01.RawData/LA92_19/LA92_19_CKDL250005148-1A_22MKWKLT4_L5_2.fq.gz,LA92_19,3195355,110052,1335094,1750209,0.0344412436176888,0.4178233717380385,0.5477353846442727
/labs/mwinslow/Haiqing/NGS_Raw_data/LA92-250304/01.RawData/LA92_20/LA92_20_CKDL250005148-1A_22MKWKLT4_L5_1.fq.gz,/labs/mwinslow/Haiqing/NGS_Raw_data/LA92-250304/01.RawData/LA92_20/LA92_20_CKDL250005148-1A_22MKWKLT4_L5_2.fq.gz,LA92_20,3931599,104490,1325400,2501709,0.026576972880499768,0.3371147464428595,0.6363082806766407
