Sample_ID,total_raw_reads,lowQ_reads,frac_lowQ_reads,Mouse_genotype,Total_lung_weight,reads_after_filtering,reads_spikein,frac_final,frac_spikein,reads_wo_pattern,frac_wo_pattern,Cutoff,Total_tumors,TS_fraction_gRNA1,TS_fraction_gRNA2,TS_fraction_total,TS_fraction_neither_shared
LA92_15,242008,150329,0.6211736802089187,KTHC,0.177,42374,14819,0.1750933853426333,0.061233512941720934,34486,0.14249942150672706,100,689,0.0,0.0,0.018867924528301886,0.018867924528301886
LA92_19,3195355,1750209,0.5477353846442727,KTHC,0.416,993797,33233,0.3110130173329724,0.010400409344188673,418116,0.13085118867856624,100,3585,0.49679218967921895,0.005578800557880056,0.5341701534170153,0.034588563458856345
LA92_01,1523508,846263,0.5554700073777099,KT,0.332,454444,8347,0.2982878987179588,0.005478802868117529,214454,0.1407632910362138,100,11137,0.5242884080093383,0.021729370566579868,0.6250336715452994,0.09158660321451019
LA92_14,2945473,1693876,0.5750777549140664,KTHC,0.336,850180,20224,0.2886395495731925,0.006866129820236003,381193,0.12941656569250506,100,5456,0.6629398826979472,0.013196480938416423,0.6920821114369502,0.02657624633431085
LA92_22,3274649,1924189,0.5876016024923587,KTHC,0.45,882243,13752,0.2694160503919657,0.004199534056932514,454465,0.1387828130587431,100,9014,0.7159973374750388,0.016418903927224317,0.7483913911692922,0.027623696472154426
LA92_23,4224978,2470901,0.584831684330664,KTHC,0.481,1177529,12524,0.27870654001038586,0.0029642757903118075,564024,0.13349749986863838,100,15965,0.7285311619166928,0.03056686501722518,0.7827121829000939,0.04603820858127153
LA92_02,2900699,1606831,0.5539461350522753,KT,0.423,877249,5068,0.3024267598947702,0.0017471650798652324,411551,0.14187993997308926,100,30841,0.6622677604487532,0.05972568982847508,0.8027301319671866,0.12032683765117863
LA92_27,7133297,5183648,0.7266833274991915,KTHC,0.622,1322155,8869,0.18534977584698914,0.001243324089828308,618625,0.0867235725639911,100,16195,0.7804878048780488,0.025439950602037666,0.8121642482247607,0.026551404754553875
LA92_04,3075453,1731145,0.5628910602763235,KT,0.401,930432,11090,0.3025349436326941,0.003605972843675387,402786,0.13096802324730697,100,16027,0.7672053409870843,0.03038622324826855,0.8124415049603794,0.03831035128221127
LA92_25,3532106,2019844,0.5718526001201549,KTHC,0.44,1006414,9627,0.28493312488356803,0.002725569391179087,496221,0.14048870560509794,100,13771,0.7888316026432358,0.020768281170575848,0.8155544259676131,0.02265630673153729
LA92_29,8294506,5001748,0.6030193962123844,KTHC,0.947,2160309,8848,0.2604505922353905,0.001066730194661382,1123601,0.13546328135756366,100,16702,0.7873308585798108,0.032630822655969345,0.8236139384504849,0.03077475751407017
LA92_06,2736426,1631762,0.5963113930360259,KT,0.3606,740800,9954,0.27071808263771796,0.0036375915153561617,353910,0.12933293281090005,100,12091,0.8263170953601853,0.017699115044247787,0.8480688115126954,0.018278058059713838
LA92_12,6037151,3809616,0.6310287749966831,KTHC,0.6,1458709,9538,0.2416220829990835,0.0015798842864788375,759288,0.12576925771775463,100,20386,0.8242421269498675,0.037427646424016484,0.857009712547827,0.02742077896595703
LA92_20,3931599,2501709,0.6363082806766407,KTHC,0.448,897355,8835,0.22824174082860435,0.0022471772935134028,523700,0.13320280120124153,100,15808,0.8383097165991903,0.03340080971659919,0.8591852226720648,0.017522773279352227
LA92_21,2678397,1606415,0.5997673235147739,KTHC,0.362,725558,6784,0.2708926271945496,0.002532858273064075,339640,0.1268071910176124,100,15293,0.8410383835741843,0.030798404498790295,0.8643823971751782,0.01961681815209573
LA92_07,7307171,4524142,0.6191372830880788,KTHC,0.822,1952523,6874,0.2672064195568983,0.0009407197395544732,823632,0.11271557761546842,100,24166,0.8757345030207729,0.04539435570636431,0.8992385996855086,0.018745344699164116
LA92_17,3384786,1786530,0.52781180257777,KTHC,0.38,1129233,6463,0.3336202052360179,0.0019094264748199738,462560,0.1366585657113921,100,26673,0.881865556930229,0.04581411914670266,0.9049975630787688,0.017845761631612493
LA92_24,5772667,3423489,0.5930515306010203,KTHC,0.65,1580324,8276,0.27375977169651394,0.0014336527639650788,760578,0.1317550449385007,100,31571,0.885147762186817,0.06341262551075354,0.9103290994900384,0.019163156060942002
LA92_08,9163371,5079748,0.5543536325223545,KTHC,0.773,2861049,6663,0.3122266903740992,0.0007271341518312421,1215911,0.13269254295171504,100,38470,0.924070704445022,0.07527943852352482,0.9399532102937354,0.011593449441122953
LA92_10,3860436,2213659,0.573422017616663,KTHC,0.402,1104567,4866,0.2861249351109564,0.0012604793862662144,537344,0.13919256788611442,100,33358,0.9254151927573595,0.052880868157563404,0.9404041009652857,0.011061814257449487
LA92_26,8284136,4934649,0.59567455193879,KTHC,0.691,2260795,6018,0.27290655295857047,0.0007264487207839176,1082674,0.13069244638185562,100,46649,0.9365045338592467,0.0784797101759952,0.9502240133764925,0.009174901927158138
LA92_16,6827065,3952417,0.5789335534376778,KTHC,0.575,1815520,4606,0.26592979560030555,0.0006746676646553094,1054522,0.1544619832973613,100,57431,0.9379255106127353,0.10609252842541485,0.9574619978757117,0.013981995786247845
LA92_05,9957185,5546433,0.5570282163081233,KT,0.761,2971023,6801,0.2983798131700877,0.0006830243688351678,1432928,0.14390894615295388,100,84837,0.9587915650011198,0.13657955844737554,0.9727595270931315,0.007944646793262374
