Sample_ID,array_recovered,TTB,TTN,TTB_million,Mouse_genotype,Sex,Time_after_tumor_initiation,Total_lung_weight,Virus_titer,Correction_for_spikein,Cell_number_per_read,TTR,Mean_count,max_least_ratio,Spikein_read_ratio,Tumor number per 100K virus,Total tumor burden (million per 100K virus),TTB_per_mg,Read_cutoff,Cell_number_cutoff
LA92_01,376.0,14736911.465197055,4800.0,14.736911465197055,KT,F,16,0.332,330000,No,35.94105666706601,454441,2782.3333333333335,1.2119565217391304,0.018036336292211554,1454.5454545454545,0.6498925345427446,80972.04101756623,2,300
LA92_02,384.0,45742955.80110637,15562.0,45.74295580110637,KT,F,16,0.423,330000,No,59.19494869771113,877249,1689.3333333333333,1.2810026385224274,0.005743967304268194,4715.757575757576,1.1418102843769866,167556.61465606728,2,300
LA92_03,,,,,KT,F,16,0.203,330000,No,2.6792651668735656,975,37323.666666666664,1.2296931142133474,0.9913675561772882,,,,2,300
LA92_04,374.0,22095987.37601431,4877.0,22.09598737601431,KT,M,16,0.401,330000,No,27.05139765554554,930432,3696.6666666666665,1.2776463630987582,0.011778800707790152,1477.878787878788,0.8257994732335291,88031.82221519646,2,300
LA92_05,384.0,119475518.3061213,39845.0,119.4755183061213,KT,M,16,0.761,330000,No,44.11116012351125,2971023,2267.0,1.1151658767772512,0.002283882459137948,12074.242424242424,1.558764983366002,195540.9464911969,2,300
LA92_06,369.0,20294424.352019355,4909.0,20.294424352019355,KT,M,16,0.3606,330000,No,30.13863773357444,740800,3318.0,1.2515538109257442,0.013258670616473572,1487.5757575757575,0.7888627972591765,96364.78799629325,2,300
LA92_07,353.0,81674148.96712342,10953.0,81.67414896712341,KTHC,M,16,0.822,330000,No,43.64271166715158,1952523,2291.3333333333335,1.2307692307692308,0.003508222172433662,3319.090909090909,1.393570678007172,121538.91215345748,2,300
LA92_08,370.0,123504592.52588573,18892.0,123.50459252588573,KTHC,M,16,0.773,330000,No,45.02476361999099,2861049,2221.0,1.2436159346271707,0.0023234550749866097,5724.848484848485,1.5731691672851391,198241.7215503784,2,300
LA92_10,369.0,63436128.23674124,21167.0,63.43612823674124,KTHC,F,16,0.402,330000,No,61.652281134401974,1104567,1622.0,1.1963806970509383,0.00438602421236794,6414.242424242424,1.283822728493271,251730.66760611604,2,300
LA92_11,2.0,611.3861682870398,2.0,0.0006113861682870398,KTHC,F,16,0.209,330000,No,1.7981946126089405,6758,55611.333333333336,1.2552144593428998,0.9610696345453708,0.6060606060606061,-3.7321983306506628,10.362477428593897,2,300
LA92_12,352.0,41985374.29230463,7609.0,41.98537429230463,KTHC,F,16,0.6,330000,No,31.453134829104634,1458709,3179.3333333333335,1.4322002241314904,0.006496182181880842,2305.7575757575755,1.1045840893209347,93300.83176067697,2,300
LA92_14,320.0,11502234.96835443,1999.0,11.502234968354431,KTHC,F,16,0.336,330000,No,14.833860759493671,850180,6741.333333333333,1.2837087822396342,0.02323518733829348,605.7575757575758,0.5422682952684865,61839.97294814209,2,300
LA92_15,175.0,780558.7421553399,333.0,0.7805587421553399,KTHC,F,16,0.177,330000,No,20.244280990620148,42374,4939.666666666667,1.2938802958977809,0.25910513524382356,100.9090909090909,-0.6261083477466575,28909.58304279037,2,300
LA92_16,369.0,108743356.49154364,34615.0,108.74335649154364,KTHC,F,16,0.575,330000,No,65.13243595310465,1815520,1535.3333333333333,1.31791483113069,0.002530594035797522,10489.39393939394,1.5178887940044572,255866.7211565733,2,300
LA92_17,362.0,48348414.04920105,12406.0,48.34841404920105,KTHC,F,16,0.38,330000,No,46.41807210273866,1129233,2154.3333333333335,1.2681420483787957,0.005690783449092011,3759.3939393939395,1.1658682928125472,210210.4958660915,2,300
LA92_18,,,,,KTHC,M,16,0.282,330000,No,0.38858039922750215,2869,257347.0,1.2580340143330837,0.9962976345640139,,,,2,300
LA92_19,291.0,8217949.026569982,1542.0,8.217949026569983,KTHC,M,16,0.416,330000,No,9.027171787079109,993797,11077.666666666666,1.149449297379415,0.03235835369950245,467.2727272727273,0.39624950326017777,30894.545212669105,2,300
